<MATCH_ID> 33768 <TEAM> Allianz Milano <SET> 0 <VALUE> 5 <PERM> ('S', 'MB', 'OH', 'O', 'MB', 'OH')
<MATCH_ID> 33768 <TEAM> Allianz Milano <SET> 1 <VALUE> 5 <PERM> ('OH', 'S', 'MB', 'OH', 'O', 'MB')
<MATCH_ID> 33768 <TEAM> Allianz Milano <SET> 2 <VALUE> 5 <PERM> ('OH', 'O', 'MB', 'OH', 'S', 'MB')
<MATCH_ID> 33768 <TEAM> Allianz Milano <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33718 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 33718 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 33718 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 33770 <TEAM> Vero Volley Monza <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33770 <TEAM> Vero Volley Monza <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33770 <TEAM> Vero Volley Monza <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33770 <TEAM> Vero Volley Monza <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33770 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33770 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33770 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33770 <TEAM> Top Volley Cisterna <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 34650 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 34650 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 34650 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 34650 <TEAM> Top Volley Cisterna <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 34650 <TEAM> Top Volley Cisterna <SET> 4 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33693 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('S', 'OH', 'MB', 'O', 'OH', 'MB')
<MATCH_ID> 33693 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('O', 'OH', 'MB', 'S', 'OH', 'MB')
<MATCH_ID> 33693 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 33774 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33774 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33759 <TEAM> Top Volley Cisterna <SET> 0 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 33759 <TEAM> Top Volley Cisterna <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 33759 <TEAM> Top Volley Cisterna <SET> 2 <VALUE> 5 <PERM> ('MB', 'S', 'OH', 'MB', 'O', 'OH')
<MATCH_ID> 34508 <TEAM> Sir Safety Conad Perugia <SET> 0 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
<MATCH_ID> 34508 <TEAM> Sir Safety Conad Perugia <SET> 1 <VALUE> 5 <PERM> ('OH', 'MB', 'O', 'OH', 'MB', 'S')
<MATCH_ID> 34508 <TEAM> Sir Safety Conad Perugia <SET> 2 <VALUE> 5 <PERM> ('MB', 'O', 'OH', 'MB', 'S', 'OH')
<MATCH_ID> 34508 <TEAM> Sir Safety Conad Perugia <SET> 3 <VALUE> 5 <PERM> ('OH', 'MB', 'S', 'OH', 'MB', 'O')
